CensusId,State,County,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,Citizen,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
48191,Texas,Hall,3203,1605,1598,34.1,57.7,7.1,0.0,0.3,0.0,2212,30950.0,4283.0,17378,2513,26.9,39.9,20.6,23.9,21.9,25.9,7.7,84.2,8.3,0.2,3.3,2.5,1.4,16.0,1214,70.9,15.0,10.1,4.0,11.5
48193,Texas,Hamilton,8266,4040,4226,11.2,86.4,1.0,0.4,0.2,0.0,6378,42432.0,5528.0,24518,3148,14.5,16.4,28.4,21.4,21.2,19.0,10.0,76.0,14.0,0.0,5.9,0.5,3.6,21.0,3279,72.9,17.8,7.5,1.9,5.9
48195,Texas,Hansford,5559,2787,2772,45.2,53.7,0.1,0.3,0.4,0.0,3141,44219.0,6188.0,22867,2058,17.1,25.0,28.9,13.6,18.0,20.7,18.8,83.6,10.4,0.0,0.9,3.0,2.1,14.8,2629,71.0,18.6,10.2,0.2,2.3
48197,Texas,Hardeman,3992,1935,2057,20.4,69.8,8.8,0.0,0.2,0.0,2871,37174.0,4799.0,20374,1903,14.8,17.4,30.6,20.2,15.1,18.7,15.4,74.0,17.3,1.1,1.8,4.9,0.9,17.6,1671,67.3,25.3,7.5,0.0,5.9
48199,Texas,Hardin,55375,27325,28050,5.2,87.2,5.8,0.3,0.6,0.0,41064,52614.0,2456.0,26844,1120,12.2,17.2,32.2,13.2,23.5,15.8,15.2,86.3,9.8,0.1,0.9,1.0,1.9,27.0,23933,80.0,15.7,4.2,0.1,5.5
48201,Texas,Harris,4356362,2166727,2189635,41.6,31.7,18.5,0.2,6.5,0.1,2494733,54457.0,400.0,29047,174,18.0,26.8,34.7,17.4,23.5,11.5,12.9,79.2,11.1,2.9,1.5,2.0,3.3,28.2,2081889,83.4,10.1,6.3,0.1,7.5
48203,Texas,Harrison,66417,32594,33823,12.1,64.2,21.6,0.3,0.5,0.0,46817,45974.0,2696.0,24114,1403,17.2,25.4,32.1,15.0,22.4,14.0,16.5,87.1,7.1,0.1,0.8,1.6,3.3,21.5,28650,80.6,13.9,5.4,0.1,7.7
48205,Texas,Hartley,6121,3771,2350,25.6,63.6,8.4,0.0,0.1,0.0,4367,63004.0,4591.0,21740,2340,6.4,9.3,38.6,15.4,21.0,17.7,7.3,82.4,8.3,0.0,2.7,1.2,5.4,12.7,2290,72.1,15.1,12.4,0.4,2.1
48207,Texas,Haskell,5853,3342,2511,25.2,68.6,3.3,0.3,1.0,0.0,3995,39850.0,6568.0,22140,2299,20.5,35.1,30.8,24.3,16.2,15.4,13.3,83.1,10.3,0.0,0.9,2.4,3.3,15.9,2227,62.4,22.5,15.0,0.2,6.9
48209,Texas,Hays,177562,88420,89142,36.7,56.6,3.4,0.3,1.2,0.1,126414,58583.0,2124.0,27398,587,16.9,17.4,36.9,17.6,27.6,9.4,8.4,77.8,11.6,1.0,1.7,1.9,6.0,29.3,87233,73.5,19.4,7.0,0.2,6.7
48211,Texas,Hemphill,4115,2021,2094,33.0,64.0,1.0,0.4,0.3,0.0,2453,62813.0,4638.0,30082,4159,12.3,22.2,28.9,16.6,25.3,19.2,10.1,77.4,15.7,0.0,2.4,0.7,3.8,17.6,1812,71.1,16.4,12.5,0.0,3.7
48213,Texas,Henderson,79016,38598,40418,11.7,79.5,6.5,0.6,0.6,0.1,58537,41607.0,1330.0,22613,896,18.8,30.0,26.8,19.4,24.3,14.8,14.7,79.4,14.6,0.1,1.2,0.7,3.8,28.5,30441,75.6,13.9,10.4,0.1,7.8
48215,Texas,Hidalgo,819217,399234,419983,91.0,7.3,0.4,0.1,1.0,0.0,384224,34782.0,734.0,14689,224,34.2,45.9,25.9,23.7,26.1,13.1,11.2,79.0,10.5,0.3,1.2,4.4,4.6,22.1,298030,70.7,17.2,11.9,0.2,9.9
48217,Texas,Hill,34923,17174,17749,19.5,72.0,7.0,0.4,0.4,0.0,24785,41382.0,1897.0,21281,929,20.8,33.6,26.0,18.1,24.9,15.0,16.0,79.3,13.3,0.1,1.5,1.4,4.4,27.4,14271,77.1,15.0,7.6,0.3,8.9
48219,Texas,Hockley,23322,11489,11833,45.9,48.4,3.3,0.4,0.3,0.0,16012,50665.0,2310.0,22609,1071,14.6,16.8,26.1,18.0,23.2,17.6,15.0,76.8,17.7,0.1,2.3,0.7,2.4,20.1,10729,77.1,15.6,7.1,0.3,6.4
48221,Texas,Hood,53171,26267,26904,11.4,85.6,0.8,0.8,0.6,0.0,40369,56100.0,2659.0,30478,1514,11.7,17.7,34.6,15.0,24.5,14.3,11.5,82.7,9.1,0.1,1.4,0.9,5.8,31.8,22208,78.6,11.0,9.9,0.5,5.0
48223,Texas,Hopkins,35645,17589,18056,16.0,74.4,6.8,0.3,0.7,0.0,24675,44396.0,2791.0,22453,1164,19.9,31.3,28.7,18.1,23.4,11.3,18.5,82.0,9.9,0.1,2.6,0.8,4.5,22.3,15235,76.7,13.2,9.8,0.3,7.1
48225,Texas,Houston,22949,12227,10722,10.6,61.9,25.5,0.1,0.1,0.0,17969,32698.0,2434.0,17570,986,25.0,41.6,24.5,22.1,24.5,13.4,15.5,81.3,11.1,0.0,1.5,1.0,5.0,25.5,7694,67.8,22.1,9.8,0.3,6.4
48227,Texas,Howard,36105,20496,15609,39.9,51.5,5.2,0.7,0.9,0.4,25369,49575.0,2957.0,22049,1248,15.6,22.1,28.4,20.2,21.6,14.3,15.5,79.8,15.8,0.2,1.6,0.9,1.7,18.0,13924,72.0,23.0,4.9,0.1,6.4
48229,Texas,Hudspeth,3330,1645,1685,78.4,19.3,1.1,0.0,0.8,0.0,1546,26384.0,2873.0,15990,2746,40.3,63.8,24.0,30.4,15.6,17.7,12.3,69.9,14.0,0.0,1.5,4.0,10.6,22.9,1141,57.6,33.0,9.3,0.1,5.7
48231,Texas,Hunt,88052,43515,44537,14.6,73.5,8.4,0.6,1.2,0.0,63237,45197.0,1896.0,21888,566,18.9,25.5,30.6,17.4,23.8,13.0,15.3,81.8,11.4,0.0,2.2,1.4,3.2,29.4,35598,78.6,14.4,7.0,0.0,11.4
48233,Texas,Hutchinson,21858,10970,10888,22.0,71.8,2.6,1.0,0.6,0.1,15286,49353.0,3242.0,24875,1140,16.1,21.7,23.5,18.5,22.2,19.4,16.3,84.3,10.8,0.2,0.9,1.0,2.8,19.7,9347,80.2,13.9,5.8,0.1,5.3
48235,Texas,Irion,1644,824,820,25.1,71.7,0.0,0.0,0.0,0.0,1258,58500.0,7101.0,30963,4352,11.6,19.9,36.8,12.3,19.9,13.8,17.3,79.4,0.9,0.4,4.4,1.1,13.8,22.9,805,57.9,21.1,18.5,2.5,4.4
48237,Texas,Jack,8946,5121,3825,15.8,78.6,4.9,0.3,0.0,0.0,6786,50324.0,7203.0,23573,1998,17.2,26.7,24.2,14.6,20.0,22.5,18.7,82.1,11.3,0.0,2.1,0.9,3.5,27.5,3348,76.1,15.2,8.1,0.6,5.6
48239,Texas,Jackson,14486,7060,7426,30.8,60.7,7.0,0.0,0.2,0.0,10013,54926.0,4976.0,25687,1994,12.4,15.5,26.4,15.2,18.7,20.0,19.7,80.8,10.9,1.1,1.0,0.3,6.0,24.6,6251,76.1,13.6,9.3,1.0,5.2
48241,Texas,Jasper,35768,17328,18440,6.5,74.5,16.3,0.4,0.4,0.0,26235,40820.0,3325.0,20121,917,17.0,24.2,24.2,18.4,24.4,17.3,15.7,78.8,14.7,0.2,1.1,2.2,3.0,29.7,12347,77.7,15.5,6.7,0.1,11.4
48243,Texas,Jeff Davis,2232,1093,1139,38.5,59.1,0.3,0.9,1.1,0.0,1559,50165.0,6378.0,26693,3817,5.7,2.2,33.1,21.2,17.1,22.3,6.2,64.4,17.2,0.0,4.0,0.4,14.0,20.9,1074,50.5,29.5,18.2,1.8,7.1
48245,Texas,Jefferson,252872,129292,123580,18.6,42.9,33.3,0.2,3.5,0.0,175369,43540.0,1070.0,24154,585,19.9,29.7,28.0,19.4,24.2,12.8,15.6,87.5,8.0,0.7,1.2,1.1,1.6,19.5,103203,81.9,13.4,4.5,0.1,8.8
48247,Texas,Jim Hogg,5239,2651,2588,91.9,6.6,1.2,0.0,0.0,0.0,3582,35521.0,5606.0,17122,2069,17.5,15.3,24.7,19.7,15.3,19.2,21.1,71.5,22.6,1.1,3.8,0.0,1.0,32.4,1786,56.8,30.7,11.7,0.8,16.5
48249,Texas,Jim Wells,41461,20450,21011,79.5,19.0,0.5,0.1,0.4,0.1,28420,42986.0,4198.0,21798,1756,22.3,31.6,28.2,20.5,20.9,18.2,12.2,83.6,11.4,0.0,1.3,1.2,2.5,26.6,16674,80.3,12.6,7.1,0.0,6.6
48251,Texas,Johnson,155450,77610,77840,19.5,74.6,2.5,0.5,0.8,0.4,107432,58135.0,1678.0,25310,696,12.1,17.7,31.0,14.5,24.1,13.0,17.5,84.7,8.8,0.2,1.2,1.1,3.9,30.0,68950,80.9,13.3,5.7,0.1,7.3
48253,Texas,Jones,19978,12652,7326,26.6,55.6,15.1,0.4,0.3,0.0,15946,43897.0,5136.0,15006,7403,18.3,26.5,28.3,20.4,24.5,14.7,12.1,78.4,15.9,0.0,1.7,1.7,2.3,21.4,5003,68.7,20.5,10.3,0.5,4.2
48255,Texas,Karnes,14879,8799,6080,51.5,39.2,8.9,0.1,0.2,0.0,11331,45502.0,4170.0,25868,2629,25.4,44.1,27.3,18.4,22.6,19.1,12.5,80.9,13.2,0.1,2.3,1.0,2.5,23.6,5251,69.6,22.0,7.8,0.5,4.8
48257,Texas,Kaufman,109289,53588,55701,18.8,68.1,9.3,0.5,0.8,0.3,73077,60391.0,2724.0,24944,930,14.0,18.0,33.0,15.9,26.7,10.8,13.7,81.6,12.9,0.4,0.6,1.4,3.1,33.1,49359,77.4,16.7,5.8,0.1,8.7
48259,Texas,Kendall,37361,17951,19410,21.8,75.1,0.7,0.0,0.7,0.0,27220,73240.0,5878.0,36126,1994,7.8,12.3,46.7,15.7,23.2,8.7,5.6,76.3,12.4,0.3,2.1,1.2,7.6,29.5,16597,73.9,15.7,10.4,0.0,4.5
48261,Texas,Kenedy,565,295,270,66.2,33.6,0.0,0.0,0.2,0.0,316,36438.0,10695.0,14251,3914,26.7,39.3,24.9,34.1,20.5,20.5,0.0,94.6,0.0,0.0,5.4,0.0,0.0,16.6,185,51.9,48.1,0.0,0.0,0.0
48263,Texas,Kent,821,423,398,17.9,81.5,0.2,0.4,0.0,0.0,637,47024.0,8739.0,27962,4474,9.6,24.8,39.7,16.3,16.8,17.8,9.3,72.8,8.3,0.0,13.5,1.8,3.6,9.7,398,49.7,38.9,10.1,1.3,1.5
48265,Texas,Kerr,50149,24194,25955,25.3,70.6,1.6,0.3,0.8,0.1,38842,43810.0,2789.0,26265,1462,15.9,23.5,31.6,22.4,26.3,12.0,7.6,79.1,12.8,0.0,1.5,1.1,5.5,19.7,20523,72.8,16.7,10.4,0.1,8.0
48267,Texas,Kimble,4486,2239,2247,24.3,74.8,0.0,0.2,0.0,0.0,3591,40125.0,6143.0,26749,5548,20.6,30.2,29.5,17.1,26.5,16.3,10.7,73.4,19.8,0.0,1.6,2.3,3.0,17.7,2129,68.3,18.0,13.1,0.6,7.6
48269,Texas,King,267,136,131,24.7,75.3,0.0,0.0,0.0,0.0,199,63250.0,21355.0,30269,7395,7.1,10.5,34.3,10.2,13.9,39.2,2.4,88.6,0.0,0.0,7.8,0.0,3.6,11.6,166,72.9,21.1,6.0,0.0,5.1
48271,Texas,Kinney,3577,2092,1485,62.1,37.3,0.6,0.0,0.0,0.0,2468,38281.0,7317.0,17299,2311,17.8,27.1,30.0,36.5,11.6,20.5,1.3,77.6,7.6,0.5,0.2,4.4,9.8,17.9,1213,48.7,38.1,13.2,0.0,13.2
48273,Texas,Kleberg,32029,16601,15428,71.3,21.9,3.9,0.1,2.0,0.0,22713,38247.0,2992.0,18722,1309,26.1,31.0,30.6,23.4,18.9,17.3,9.9,73.5,16.7,0.0,6.0,1.8,1.9,17.8,13466,69.5,25.9,4.4,0.2,11.7
48275,Texas,Knox,3796,1902,1894,33.1,59.9,6.7,0.1,0.1,0.0,2656,40493.0,7401.0,20124,1514,16.5,23.7,26.5,16.9,19.4,28.6,8.6,77.8,15.7,0.0,2.5,2.3,1.6,17.0,1534,67.1,25.0,7.0,0.8,7.1
48277,Texas,Lamar,49566,24057,25509,7.2,75.1,12.4,0.3,0.8,0.2,36565,40748.0,1632.0,22344,980,18.6,27.6,27.6,18.8,25.3,11.7,16.6,81.9,10.1,0.0,1.9,2.9,3.2,19.0,20953,79.2,13.9,6.7,0.2,7.4
48279,Texas,Lamb,13742,6966,6776,53.5,41.0,4.4,0.3,0.2,0.0,8993,39851.0,3148.0,20863,1221,23.5,35.0,29.5,15.4,19.4,19.7,16.0,79.7,10.5,0.0,4.0,2.5,3.3,15.6,5709,73.8,16.1,9.9,0.1,6.2
48281,Texas,Lampasas,20219,9908,10311,18.7,73.4,3.8,0.3,0.9,0.1,14642,49630.0,2600.0,23772,1189,14.6,22.7,30.8,21.3,20.1,16.7,11.1,73.9,17.1,0.1,2.7,3.2,2.9,28.1,8245,65.5,26.5,8.0,0.0,8.6
48283,Texas,La Salle,7191,4021,3170,83.2,15.3,0.9,0.0,0.0,0.0,4589,37292.0,7064.0,22127,7153,15.6,29.0,25.1,13.8,19.0,24.0,18.1,80.7,10.4,0.0,3.9,2.7,2.4,20.8,2307,78.2,14.0,7.8,0.0,8.1
48285,Texas,Lavaca,19549,9456,10093,17.5,74.6,6.8,0.0,0.4,0.0,14044,48677.0,2485.0,27288,1457,9.2,11.0,32.4,14.7,19.2,13.9,19.8,80.4,12.3,0.4,1.6,0.9,4.3,26.5,8929,73.4,14.4,12.1,0.1,4.0
48287,Texas,Lee,16664,8393,8271,23.1,64.1,11.5,0.0,0.4,0.0,12017,53902.0,3576.0,25006,1784,14.7,21.1,24.7,23.7,23.4,13.2,14.9,79.4,13.5,0.1,2.6,0.9,3.4,25.3,7706,74.5,16.7,8.4,0.4,5.7
48289,Texas,Leon,16819,8308,8511,14.0,76.8,7.5,0.4,0.4,0.0,12286,49802.0,3672.0,27535,3329,13.9,20.7,30.3,14.4,21.2,19.5,14.6,80.9,9.7,0.1,2.9,1.1,5.3,26.7,6673,69.4,14.5,15.7,0.4,7.5
48291,Texas,Liberty,77486,38184,39302,20.0,67.2,10.6,0.2,0.7,0.0,54014,48729.0,2514.0,21194,944,17.6,22.7,23.9,14.9,23.4,17.9,19.9,85.9,10.8,0.2,1.6,1.0,0.6,34.2,27767,78.4,13.6,7.8,0.2,11.5
48293,Texas,Limestone,23454,12091,11363,20.4,60.3,17.6,0.2,0.6,0.1,16277,37554.0,2526.0,20430,1145,23.2,41.7,29.5,21.6,18.1,14.0,16.8,80.8,12.3,0.0,1.5,1.4,4.0,20.0,9384,61.3,28.6,10.1,0.0,8.2
48295,Texas,Lipscomb,3483,1866,1617,29.7,66.6,0.3,0.9,0.8,0.0,2187,63125.0,6474.0,30237,2502,9.2,10.8,32.1,8.9,16.5,20.5,22.0,78.6,12.2,0.3,2.4,5.1,1.5,20.1,1662,72.7,14.7,12.2,0.4,5.0
48297,Texas,Live Oak,11873,6421,5452,36.9,57.0,3.2,0.3,1.2,0.0,8827,50400.0,5652.0,21231,2559,15.3,23.7,27.1,17.1,21.7,14.2,19.9,78.1,12.3,0.0,1.4,1.7,6.5,33.6,4140,73.5,14.2,12.1,0.2,4.3
48299,Texas,Llano,19323,9219,10104,9.3,87.7,2.2,0.1,0.3,0.0,15932,48259.0,4147.0,36279,3570,14.9,25.7,32.2,19.5,28.5,10.0,9.8,71.4,12.6,0.0,2.5,1.7,11.8,23.4,7348,72.0,11.4,16.4,0.2,5.8
48301,Texas,Loving,117,74,43,35.0,41.0,0.0,12.8,0.0,0.0,98,,,25877,6544,28.9,0.0,22.6,22.6,32.3,4.8,17.7,64.5,11.3,0.0,8.1,0.0,16.1,25.4,62,71.0,27.4,1.6,0.0,15.1
48303,Texas,Lubbock,290782,143698,147084,33.5,55.6,6.7,0.3,2.0,0.1,211488,46075.0,738.0,24510,431,19.4,23.4,34.0,20.1,25.8,10.1,10.1,81.2,11.7,0.9,2.0,1.3,2.8,16.9,141493,76.5,16.8,6.5,0.2,6.2
48305,Texas,Lynn,5764,2902,2862,47.3,49.3,1.2,1.5,0.2,0.1,3959,39526.0,3833.0,23341,2239,19.3,31.9,29.4,16.5,25.6,19.5,9.0,78.2,13.5,0.1,3.7,0.0,4.5,20.1,2409,65.9,21.7,12.5,0.0,10.9
48307,Texas,McCulloch,8273,4086,4187,30.8,65.7,1.6,0.0,0.0,0.0,6061,40561.0,3136.0,22194,1988,18.8,27.0,26.9,22.4,22.2,15.4,13.2,80.5,11.3,0.0,6.1,0.0,2.0,16.2,3727,68.1,16.2,14.6,1.1,4.3
48309,Texas,McLennan,241505,117708,123797,24.8,57.7,14.2,0.1,1.5,0.0,168290,42687.0,1183.0,22221,507,21.5,29.8,32.4,18.2,25.1,10.5,13.8,82.3,11.5,0.4,1.8,0.8,3.2,19.0,107737,79.5,14.7,5.7,0.1,6.2
48311,Texas,McMullen,778,405,373,48.1,50.4,0.0,1.5,0.0,0.0,568,46250.0,15303.0,27608,8792,11.8,11.3,25.9,22.2,30.9,10.8,10.2,75.8,6.4,6.4,4.4,2.7,4.4,11.8,324,60.5,25.6,12.7,1.2,14.1
48313,Texas,Madison,13838,8648,5190,21.7,56.5,18.6,0.2,0.3,0.1,10981,39390.0,3449.0,15894,2005,20.2,31.3,25.6,23.4,20.3,19.8,11.0,76.3,12.3,0.0,7.6,1.7,2.1,22.1,4194,65.1,22.4,11.8,0.7,5.7
48315,Texas,Marion,10248,4900,5348,3.9,71.0,22.9,0.2,1.6,0.0,8368,34175.0,3051.0,22755,2147,22.6,35.7,26.7,22.1,19.5,14.4,17.4,79.2,9.3,0.3,3.6,1.7,5.9,28.8,3940,78.7,15.2,5.9,0.1,8.0
48317,Texas,Martin,5252,2624,2628,45.6,51.2,2.3,0.6,0.0,0.2,3355,55682.0,14419.0,26130,3258,13.3,17.1,25.6,18.3,19.5,23.9,12.6,74.9,15.3,0.0,3.5,1.9,4.4,17.8,2342,77.0,12.9,10.1,0.0,3.5
48319,Texas,Mason,4066,2196,1870,24.6,71.8,0.0,0.5,3.1,0.0,3034,37654.0,2989.0,25585,2613,14.3,21.4,23.4,22.2,19.4,25.9,9.1,73.3,15.7,0.0,3.9,1.7,5.3,20.3,2018,66.0,11.6,21.8,0.6,6.8
48321,Texas,Matagorda,36598,18119,18479,39.9,46.2,9.9,0.4,2.1,0.2,24817,40797.0,3834.0,21693,1100,21.7,35.2,22.5,20.4,23.8,17.3,16.1,80.8,13.7,0.7,2.3,0.5,1.9,23.1,15874,77.4,15.6,7.0,0.0,6.4
48323,Texas,Maverick,56548,27870,28678,95.2,3.1,0.1,0.9,0.5,0.0,26911,33747.0,2484.0,15249,746,26.7,34.9,22.0,26.6,22.5,13.0,15.9,77.2,17.0,0.5,2.3,1.8,1.2,20.8,20309,68.8,25.0,6.1,0.1,13.1
48325,Texas,Medina,47392,24482,22910,50.8,45.1,2.2,0.4,0.3,0.0,34510,57338.0,2701.0,23830,1375,14.9,21.1,31.9,19.0,24.0,13.2,11.9,82.1,11.7,0.2,1.9,0.9,3.2,30.0,19610,73.6,17.3,9.0,0.1,6.6
48327,Texas,Menard,2182,1065,1117,36.8,58.8,1.2,0.5,0.0,0.0,1604,34464.0,7243.0,22016,5782,14.9,21.2,28.6,23.7,17.9,20.5,9.3,73.8,17.3,0.0,3.5,0.3,5.1,17.5,797,52.9,24.6,21.0,1.5,8.3
48329,Texas,Midland,151290,75306,75984,41.3,49.7,5.8,0.3,1.5,0.1,99489,68806.0,2877.0,35537,1241,8.8,11.0,32.3,13.9,25.7,16.4,11.8,84.9,9.9,0.2,1.0,1.6,2.5,19.5,76743,81.2,11.4,7.1,0.3,3.4
48331,Texas,Milam,24344,12087,12257,25.0,63.7,8.3,0.2,0.6,0.0,17287,38929.0,3148.0,22130,1355,17.4,26.4,30.0,16.7,23.0,17.9,12.4,75.8,15.8,0.2,1.1,2.6,4.6,26.4,9212,68.5,21.3,9.8,0.4,9.6
48333,Texas,Mills,4875,2242,2633,16.2,83.3,0.2,0.0,0.0,0.0,3432,43920.0,4799.0,22804,2768,14.6,21.4,31.4,14.3,28.1,15.1,11.2,84.4,7.6,0.0,3.5,0.6,3.8,17.4,1887,71.3,19.5,9.0,0.2,3.6
48335,Texas,Mitchell,9169,5665,3504,38.7,48.7,10.6,0.3,0.5,0.0,6891,49870.0,2833.0,18764,1852,11.5,10.8,30.5,20.3,17.3,19.1,12.9,80.7,14.4,0.4,0.7,0.3,3.5,22.2,2955,66.7,25.9,7.0,0.4,5.5
48337,Texas,Montague,19478,9597,9881,10.3,86.9,0.1,0.2,0.2,0.0,14279,46172.0,1893.0,25846,1584,15.0,23.8,29.4,15.7,20.7,16.4,17.8,79.8,11.6,0.0,1.9,0.9,5.8,24.4,8193,76.4,13.3,9.9,0.4,6.6
48339,Texas,Montgomery,502586,248919,253667,22.2,69.1,3.4,0.3,2.5,0.0,327669,68838.0,1533.0,34215,709,12.0,17.0,38.2,15.8,24.2,10.3,11.5,80.7,10.8,1.3,1.0,1.3,4.9,32.7,230258,80.4,11.7,7.8,0.1,6.1
48341,Texas,Moore,22281,11512,10769,52.6,35.0,2.5,0.4,8.5,0.0,11050,49802.0,3723.0,19495,834,20.1,31.5,20.3,16.6,17.1,18.8,27.3,75.7,18.6,0.4,1.7,1.9,1.6,16.4,10714,82.0,11.7,5.9,0.4,4.1
48343,Texas,Morris,12700,6103,6597,8.8,65.8,23.0,0.9,0.0,0.0,9447,39453.0,3350.0,20900,2134,18.7,27.7,27.7,19.8,20.7,6.6,25.1,87.1,6.7,0.2,0.2,0.4,5.4,24.1,4588,75.3,17.5,7.1,0.0,12.7
48345,Texas,Motley,1071,596,475,15.0,82.9,1.2,0.3,0.0,0.0,857,31683.0,4603.0,20322,2815,16.9,15.3,38.8,14.8,16.1,24.6,5.7,81.8,9.8,1.6,4.0,0.0,2.9,17.1,459,65.6,21.6,12.9,0.0,11.0
48347,Texas,Nacogdoches,65531,31409,34122,18.5,60.4,18.0,0.4,1.6,0.0,46172,39538.0,2005.0,21113,903,24.6,31.8,33.7,17.3,22.6,11.3,15.1,79.3,11.7,0.2,4.1,1.7,3.0,19.6,27638,72.0,20.0,7.9,0.1,8.6
48349,Texas,Navarro,48118,23717,24401,25.2,58.4,13.3,0.2,0.7,0.9,31640,41505.0,1916.0,20697,692,20.7,31.5,25.2,20.0,22.4,11.5,20.9,81.6,11.9,0.1,1.5,1.3,3.6,24.9,20159,74.8,17.3,7.8,0.2,10.9
48351,Texas,Newton,14231,7347,6884,3.4,73.8,20.9,0.4,0.6,0.0,10955,38144.0,4657.0,20428,1716,12.9,17.1,21.8,20.8,21.8,17.0,18.7,84.3,10.6,0.0,0.1,3.4,1.5,36.1,4911,79.4,15.8,4.8,0.0,12.1
48353,Texas,Nolan,15061,7618,7443,35.5,58.2,4.2,0.2,0.4,0.0,11053,37102.0,2028.0,20444,1089,21.2,30.4,24.9,24.5,17.6,13.7,19.3,81.3,11.5,0.2,2.8,2.7,1.5,15.9,6403,76.1,17.1,6.5,0.3,7.7
48355,Texas,Nueces,352060,173195,178865,62.0,31.3,3.7,0.2,1.7,0.1,247141,50337.0,922.0,25176,488,18.0,26.4,28.7,21.5,24.3,13.3,12.2,80.3,11.7,1.6,2.1,2.2,2.2,19.8,162895,76.6,16.3,6.9,0.2,6.6
48357,Texas,Ochiltree,10642,5439,5203,50.9,46.6,0.2,0.7,0.4,0.0,5697,51517.0,3478.0,25995,2161,13.7,15.9,21.3,18.9,21.3,21.6,16.9,80.6,14.1,0.0,2.2,1.0,2.1,16.5,5081,80.1,10.4,9.2,0.3,5.2
48359,Texas,Oldham,2071,1137,934,14.4,72.2,6.1,0.5,0.5,0.0,1344,50893.0,11047.0,23452,6306,13.1,17.6,39.2,19.3,19.7,11.5,10.3,80.9,9.0,0.0,3.9,1.0,5.2,17.6,773,73.2,20.1,6.7,0.0,7.4
48361,Texas,Orange,83217,41232,41985,6.7,81.8,8.2,0.4,1.0,0.0,61693,49763.0,2575.0,25489,1029,15.5,20.2,28.3,15.7,24.2,15.2,16.6,87.0,8.3,0.1,1.3,1.4,1.8,23.2,35616,80.8,13.7,5.4,0.1,8.4
48363,Texas,Palo Pinto,27921,13822,14099,19.4,76.1,2.4,0.6,0.4,0.0,20257,39516.0,1932.0,23013,1312,19.8,27.0,25.2,16.3,22.2,16.2,20.1,84.2,7.6,0.3,1.8,2.5,3.6,24.5,11291,76.7,14.1,9.0,0.2,8.3
48365,Texas,Panola,23900,11536,12364,8.9,73.2,17.0,0.0,0.5,0.1,17319,50119.0,2504.0,25693,1547,15.0,22.8,22.0,17.4,22.4,22.3,15.9,87.1,8.9,0.4,0.9,0.4,2.3,25.9,10154,81.5,11.7,6.9,0.0,5.7
48367,Texas,Parker,121418,60724,60694,11.2,84.5,1.7,0.6,0.6,0.0,88681,67288.0,2635.0,31923,893,9.9,14.9,37.6,14.4,24.8,12.2,11.0,82.9,10.5,0.1,1.0,1.1,4.2,31.9,56235,76.6,15.2,8.0,0.2,6.1
48369,Texas,Parmer,10004,5150,4854,61.4,36.7,1.7,0.2,0.0,0.0,5731,45326.0,5746.0,20381,1374,17.2,27.6,23.9,14.0,18.5,17.1,26.5,73.5,17.0,1.0,3.3,1.7,3.5,15.9,4665,77.6,12.5,9.3,0.5,3.6
48371,Texas,Pecos,15807,9003,6804,67.7,26.7,4.2,0.7,0.2,0.1,10754,50305.0,4967.0,19772,1208,12.0,13.5,18.9,18.5,25.4,20.3,16.9,81.8,13.5,0.3,2.2,0.7,1.4,17.6,6447,68.6,24.5,6.0,0.9,4.8
48373,Texas,Polk,46113,24757,21356,14.2,71.1,10.9,1.3,0.6,0.0,34280,39662.0,2034.0,21010,1519,17.4,26.8,25.2,22.6,22.9,15.4,13.9,75.7,14.7,0.5,2.6,3.1,3.4,27.2,16267,68.7,22.2,8.7,0.4,10.0
48375,Texas,Potter,122352,62842,59510,36.8,46.7,9.0,0.3,4.6,0.2,77368,38159.0,1738.0,20283,748,22.0,30.4,25.2,23.1,22.5,12.4,16.8,75.6,16.7,1.3,1.8,1.8,2.7,18.3,53420,81.2,12.4,6.2,0.2,5.3
48377,Texas,Presidio,7304,3605,3699,81.0,15.2,0.0,0.4,3.4,0.0,3712,32132.0,6192.0,16507,1715,21.7,32.6,33.9,25.7,17.7,16.6,6.1,60.6,12.3,2.0,11.3,2.5,11.4,14.9,2610,54.9,33.2,11.3,0.6,9.6
48379,Texas,Rains,11037,5630,5407,8.2,86.1,2.3,0.7,0.5,0.0,8552,48448.0,3953.0,23443,1283,11.0,18.3,28.6,15.9,22.9,14.6,18.0,81.1,11.7,0.0,2.2,1.3,3.6,37.0,4468,75.3,15.6,9.0,0.1,7.9
48381,Texas,Randall,126782,62256,64526,18.8,75.0,2.6,0.4,1.4,0.0,92898,60972.0,1404.0,30480,851,10.5,13.2,36.8,17.5,27.5,8.5,9.8,85.5,9.4,0.4,1.3,0.7,2.7,19.1,65270,75.4,17.5,7.1,0.1,3.9
48383,Texas,Reagan,3598,1853,1745,67.0,30.9,1.7,0.0,0.0,0.0,2064,52181.0,8132.0,25238,2525,15.5,22.0,20.1,10.3,22.5,21.5,25.6,84.0,10.9,0.0,2.6,1.2,1.3,16.6,1778,70.0,18.7,11.1,0.2,2.2
